S.No,Category,Protein_ID,Template,Percent_Identity,Query_Coverage,Sequence_Similarity,Domains
1,Single RRM,A6NDE4,5TBX_A,59.494,100,59.49,1 RRM
2,Single RRM,A6NDY0,3UCG_A,75.641,100,75.64,
3,Single RRM,O60812,5CA5_A,38.571,96,37.02,
4,Single RRM,O75526,5TBX_A,60.759,100,60.75,
5,Single RRM,O95628,3SXL_A,35.484,98,34.77,
6,Single RRM,P0C7P1,5TBX_A,59.494,100,59.49,
7,Single RRM,P0DJD3,5TBX_A,59.494,100,59.49,
8,Single RRM,P55884,4NOX_A,37.931,100,37.93,
9,Single RRM,P57052,2YWK_A,98.649,95,93.71,
10,Single RRM,P62995,5TBX_A,57.746,90,51.97,
11,Single RRM,Q2M296,4QQB_A,32.099,100,32.09,
12,Single RRM,Q5RL73,5K19_A,60.000,19,11.40,
13,Single RRM,Q5T481,3R27_A,27.397,96,26.30,
14,Single RRM,Q6ZSC3,5MPF_A,29.508,66,19.47,
15,Single RRM,Q8IZ69,4ZKA_A,32.432,96,31.13,
16,Single RRM,Q8N7X1,5TBX_A,54.667,95,51.93,
17,Single RRM,Q8NDV7,5D77_A,47.059,47,22.11,
18,Single RRM,Q8TBF4,5TBX_A,34.667,95,32.93,
19,Single RRM,Q8WXA9,5IQQ_A,41.892,94,39.37,
20,Single RRM,Q8WXF0,5TBX_A,40.000,95,38.00,
21,Single RRM,Q9BY77,3ULH_A,40.541,94,38.10,
22,Single RRM,Q9BYG3,5T9P_B,43.038,100,43.03,
23,Single RRM,Q9GZT3,3S7R_A,33.846,76,25.72,
24,Single RRM,Q9H0L4,2X1F_A,46.575,92,42.84,
25,Single RRM,Q9H0Z9,6DBP_A,40.789,97,39.56,
26,Single RRM,Q9NW64,4P6Q_A,35.526,99,35.17,
27,Single RRM,Q9P2N5,1B7F_A,31.343,84,26.32,
28,Single RRM,Q9UBK2,3NNC_A,31.343,81,25.38,
29,Single RRM,Q9ULW3,5T9P_B,23.364,98,22.89,
30,Single RRM,Q9UPQ9,5MDU_A,23.188,95,22.02,
31,Single RRM,Q9Y3A4,6FQ1_A,41.379,97,40.13,
32,Single RRM,Q9Y388,2XB2_D,40.789,95,38.74,
33,Single RRM,Q9Y4F3,4ZKA_A,32.051,96,30.76,
34,Single RRM,Q53F19,4JEU_A,26.667,100,26.66,
35,Single RRM,Q76FK4,3MDF_A,30.380,96,29.16,
36,Single RRM,Q86SE5,5CA5_A,32.857,96,31.54,
37,Single RRM,Q96E39,5TBX_A,64.557,100,64.55,
38,Single RRM,Q96H35,4QQB_A,35.802,96,34.36,
39,Single RRM,Q96IZ5,3EGN_A,41.463,97,40.21,
40,Single RRM,Q02040,1HL6_A,27.711,75,20.78,
41,Single RRM,Q13595,5TBX_A,57.333,95,54.46,
42,Single RRM,Q15415,5TBX_A,58.228,100,58.22,
43,Single RRM,Q9BTD8,3H4J_B,46.154,32,14.76,
44,Single RRM,Q86U42,3UCG_A,100.000,100,100.00,
45,Single RRM,Q86YN6,4F02_A,28.788,85,24.46,
46,Single RRM,Q16560,4PKD_B,48.684,96,46.73,
47,Single RRM,Q16630,3P5T_L,98.765,100,98.76,
48,Multiple RRMs,O14979,5IM0_A,78.205,94,73.51,2 RRMs
49,Multiple RRMs,O43390,6ES4_A,66.667,98,65.33,3 RRMs
50,Multiple RRMs,O43719,6N3D_A,100.000,100,100.00,2 RRMs
51,Multiple RRMs,O60506,6ES4_A,65.385,98,64.07,3 RRMs
52,Multiple RRMs,P14866,3R27_A,100.000,100,100.00,4 RRMs
53,Multiple RRMs,P19338,5TBX_A,45.333,95,43.06,4 RRMs
54,Multiple RRMs,P52272,4F25_A,40.845,92,37.57,3 RRMs
55,Multiple RRMs,Q5T8P6,6EG0_B,31.343,77,24.13,2 RRMs
56,Multiple RRMs,Q7Z5Q1,2XS5_A,33.824,74,25.02,2 RRMs
57,Multiple RRMs,Q8IUH3,1FXL_A,37.500,88,33.00,3 RRMs
58,Multiple RRMs,Q8IYX4,6ES4_A,43.478,86,37.39,2 RRMs
59,Multiple RRMs,Q8NE35,2XS5_A,32.353,74,23.94,2 RRMs
60,Multiple RRMs,Q8TBY0,6ES4_A,56.962,99,56.39,3 RRMs
61,Multiple RRMs,Q8WVV9,3TO8_A,72.973,99,72.24,3 RRMs
62,Multiple RRMs,Q9BWF3,3SDE_B,44.776,92,41.19,2 RRMs
63,Multiple RRMs,Q9BZC1,3NNH_A,55.952,100,55.95,3 RRMs
64,Multiple RRMs,Q9H6T0,6DHS_A,41.333,95,39.26,3 RRMs
65,Multiple RRMs,Q9HCJ3,3H2V_E,66.667,100,66.66,3 RRMs
66,Multiple RRMs,Q9NQ94,6ES4_A,55.696,99,55.13,3 RRMs
67,Multiple RRMs,Q9NTZ6,5UZM_A,34.247,91,31.16,3 RRMs
68,Multiple RRMs,Q9NW13,5TBX_A,33.766,97,32.75,3 RRMs
69,Multiple RRMs,Q9NX07,1FXL_A,37.097,98,36.35,2 RRMs
70,Multiple RRMs,Q9UHX1,2QFJ_A,98.734,100,98.73,3 RRMs
71,Multiple RRMs,Q9Y4C8,1FXL_A,32.051,99,31.73,2 RRMs
72,Multiple RRMs,Q86U06,4YUD_A,89.744,100,89.74,2 RRMs
73,Multiple RRMs,Q9BQ04,3SDE_B,44.776,92,41.19,2 RRMs
74,Multiple RRMs,Q96EP5,6DBP_A,51.807,94,48.69,2 RRMs
75,Multiple RRMs,Q96J87,3NNC_A,54.762,100,54.76,3 RRMs
76,Multiple RRMs,Q96LT9,3SMZ_A,34.247,96,32.87,2 RRMs
77,Multiple RRMs,Q96PK6,2XNR_A,27.143,96,26.05,2 RRMs
78,Multiple RRMs,Q08170,4ZKA_A,31.081,96,29.83,2 RRMs
79,Multiple RRMs,Q13151,2UP1_A,69.620,99,68.92,2 RRMs
80,Multiple RRMs,Q13242,3BEG_B,84.507,92,77.74,2 RRMs
81,Multiple RRMs,Q13243,2XNQ_A,36.842,99,36.47,2 RRMs
82,Multiple RRMs,Q13247,5TBX_A,34.211,94,32.15,2 RRMs
83,Multiple RRMs,Q14498,4YUD_A,100.000,100,100.00,3 RRMs
84,Multiple RRMs,Q14966,5IFM_A,30.986,93,28.81,2 RRMs
85,Multiple RRMs,Q15434,4LJM_B,38.356,99,37.97,2 RRMs
86,RRM + Other,O95104,3MD3_A,28.571,96,27.42,"1 CID, 1 RRM"
87,RRM + Other,P52756,1B7F_A,31.148,99,30.83,"1 G-patch, 1 RRM"
88,RRM + Other,P78332,1B7F_A,27.397,89,24.38,"1 G-patch, 1 RRM"
89,RRM + Other,Q13283,3S7R_A,34.783,87,30.26,"1 NTF2, 1 RRM"
90,RRM + Other,Q14151,4ZKA_A,34.667,95,32.92,"1 SAP, 1 RRM"
91,RRM + Other,Q15424,4ZKA_A,31.507,92,28.98,"1 SAP, 1 RRM"
92,RRM + Other,Q5VZ19,4WII_A,33.824,91,30.77,"1 Tudor, 1 RRM"
93,RRM + Other,Q71RC2,2VGB_A,25.000,86,21.50,"1 HTH, 1 RRM"
94,RRM + Other,Q8TAS1,4FXW_A,42.424,73,30.96,"1 Protein kinase, 1 RRM"
95,RRM + Other,Q92615,5L3S_B,30.000,88,26.40,"1 HTH, 1 RRM"
96,RRM + Other,Q96T37,4P6Q_A,36.765,81,29.77,"1 SPOC, 3 RRM"
97,RRM + Other,Q96T58,1H6K_Z,32.000,95,30.40,"1 RID, 1 SPOC, 4 RRMs"
98,RRM + Other,Q9BRS8,3A7E_A,30.556,53,16.19,"1 HTH, 1 RRM"
99,RRM + Other,Q9NVM6,6BWW_A,33.333,64,21.33,"1 J, 1 RRM"
100,RRM + Other,Q9NWH9,4ZKA_A,33.784,94,31.75,"1 SAP, 1 RRM"
101,RRM + Other,Q9UN86,5HO4_A,39.344,87,34.22,"1 NTF2, 1 RRM"
102,RRM + Other,Q9UPN6,4EGL_A,31.646,100,31.64,"1 CID, 1 RRM"
103,RRM + Other,Q9UPS6,3S8S_A,67.857,94,63.78,"1 SET, 1 Post-SET, 1 RRM"
104,RRM + Other,Q9Y6M1,6FQ1_A,60.274,99,59.67,"4 KH, 2 RRMs"
105,RRM + Other,O15047,3S8S_A,100.000,94,94.00,"1 SET, 1 Post-SET, 1 RRM"
106,RRM + Other,Q4G0J3,4WKR_A,100.000,100,100.00,"1 HTH La-type, 1 RRM"
107,RRM + Other,P49756,5W0H_A,31.507,92,28.98,"1 PWI, 1 RRM"
108,RRM + Other,Q8WUA2,1B7F_A,34.211,96,32.84,"1 PPIase cyclophilin type, 1 RRM"
109,RRM + Other,Q96I25,6HIP_A,100.000,100,100.00,"1 G-patch, 1 RRM"
