SNo,Sequence,DOPE_score,GA341_score
1,O95758,-47948.59,1
2,P08621,-20850.47,0.81
3,P09012,-20436.80,1
4,P23246,-37677.86,0.99
5,O43347,-14209.99,1
6,P05455,-33724.76,1
7,P26368,-28455.24,1
8,P31942,-23147.09,1
9,P51991,-18178.33,1
10,P98179,-11093.39,1
11,Q5SZQ8,-26645.31,1
12,Q6ZRY4,-17326.92,1
13,Q8N6W0,-24600.73,1
14,Q9GZY0,-49601.48,1
15,Q9H1B4,-37808.74,1
16,Q9UBU9,-46432.11,1
17,Q01081,-19579.67,1
18,Q07955,-11335.64,0.13
19,Q12849,-35488.30,1
20,Q99729,-17549.94,1
21,O00425,-16747.20,0.99
22,P08579,-18887.00,1
23,P22626,-20295.80,1
24,P26599,-42016.96,1
25,P31943,-31821.32,1
26,P52597,-28698.50,1
27,P55795,-32266.68,1
28,Q4VXU2,-44360.96,1
29,Q9H361,-19322.40,1
30,Q9UNP9,-20386.20,1
31,Q13310,-44328.14,1
32,Q15020,-74581.48,1
33,Q15233,-33523.96,1
34,Q92879,-21312.29,0.99
35,Q93062,-17232.29,1
36,Q96DU9,-32405.39,1
37,Q01085,-14588.31,1
38,Q12926,-22448.91,1
39,P26378,-33042.60,0.14
40,Q15717,-29402.54,1
41,Q9Y3B4,-12421.65,1
42,Q9UKA9,-43578.30,1
43,Q32P51,-18725.99,1
44,Q96BT7,-47653.34,1
45,Q9NZI8,-22045.19,1
