SNo,Protein_ID,C_score,TM_score
1,A6NDY0,-3.04,0.37+-0.13
2,O14979,-2.95,0.38+-0.13
3,O43719,-1.62,0.52+-0.15
4,O60506,-3.00,0.38+-0.13
5,O60812,-3.06,0.37+-0.13
6,O75526,-1.78,0.50+-0.15
7,O95628,-2.49,0.42+-0.14
8,P0C7P1,-1.47,0.53+-0.15
9,P0DJD3,-1.43,0.54+-0.15
10,P14866,-2.56,0.42+-0.14
11,P19338,-2.81,0.39+-0.13
12,P52272,-1.94,0.48+-0.15
13,P55884,-2.27,0.45+-0.14
14,P57052,-1.91,0.48+-0.15
15,P62995,-3.04,0.37+-0.13
16,Q2M296,-3.51,0.33+-0.11
17,Q5RL73,-1.32,0.55+-0.15
18,Q5T8P6,-1.08,0.58+-0.14
19,Q5T481,0.19,0.74+-0.11
20,Q6ZSC3,-2.69,0.41+-0.14
21,Q7Z5Q1,-1.05,0.58+-0.14
22,Q1UH3,-2.00,0.48+-0.15
23,Q81YX4,-1.81,0.50+-0.15
24,Q81Z69,-2.24,0.45+-0.15
25,Q8N7X1,-0.80,0.61+-0.14
26,Q8NE35,-1.51,0.53+-0.15
27,Q8TBF4,-3.03,0.37+-0.13
28,Q8TBY0,-2.15,0.46+-0.15
29,Q8WXA9,-2.16,0.46+-0.15
30,Q8WXF0,-3.82,0.30+-0.10
31,Q9BQ04,-2.52,0.42+-0.14
32,Q9BTD8,-1.59,0.52+-0.15
33,Q9BWF3,-2.41,0.43+-0.14
34,Q9BY77,-1.69,0.51+-0.15
35,Q9BYG3,-2.65,0.41+-0.14
36,Q9BZC1,-3.00,0.37+-0.13
37,Q9GZT3,0.63,0.80+-0.09
38,Q9H0L4,-2.23,0.45+-0.15
39,Q9H0Z9,-2.71,0.40+-0.14
40,Q9H6T0,-2.99,0.38+-0.13
41,Q9HCJ3,-2.03,0.47+-0.15
42,Q9NTZ6,-1.45,0.54+-0.15
43,Q9NW13,-1.45,0.54+-0.15
44,Q9NW64,-1.84,0.49+-0.15
45,Q9UHX1,-2.71,0.40+-0.14
46,Q9ULW3,-4.57,0.24+-0.07
47,Q9NX07,-1.29,0.55+-0.15
48,Q9P2N5,-0.81,0.61+-0.14
49,Q9UBK2,-0.83,0.61+-0.14
50,Q9Y3A4,-3.88,0.30+-0.10
51,Q9Y4C8,-1.75,0.50+-0.15
52,Q9Y388,-3.55,0.32+-0.11
53,Q53F19,-3.29,0.35+-0.12
54,Q76FK4,-0.46,0.65+-0.13
55,Q86SE5,-1.91,0.48+-0.15
56,Q86U42,-2.90,0.38+-0.13
57,Q86YN6,-0.20,0.69+-0.12
58,Q96E39,-1.75,0.50+-0.15
59,Q96H35,-1.06,0.58+-0.14
60,Q96LT9,-2.13,0.46+-0.15
61,Q02040,-2.76,0.40+-0.13
62,Q08170,-0.95,0.59+-0.14
63,Q13151,-2.69,0.40+-0.14
64,Q13242,-1.51,0.53+-0.15
65,Q13243,-1.94,0.48+-0.15
66,Q13247,-2.76,0.40+-0.13
67,Q13595,-3.14,0.36+-0.12
68,Q14498,-2.81,0.39+-0.13
69,Q15415,-1.16,0.57+-0.15
70,Q15434,-2.94,0.38+-0.13
71,Q16560,-3.04,0.37+-0.13
72,Q16630,-1.85,0.49+-0.15
