SNo,Category,Target_Sequence,Template,Percent_Identity,Query_Coverage,Sequence_Similarity,Domains
1,Single_RRM,Q9Y3B4,2F9D_A,100.000,100,100.00,1 RRM
2,Single_RRM,P08621,4PKD_B,100.000,36,36.00,
3,Single_RRM,P98179,5TBX_A,73.256,55,40.29,
4,Single_RRM,Q6ZRY4,2M9K_A,98.913,44,43.52,
5,Single_RRM,Q01081,4YH8_A,59.162,80,47.32,
6,Single_RRM,Q93062,5DET_A,100.000,50,50.00,

7,Multiple_RRM,O43347,5X3Y_A,95.789,50,47.89,2 RRMs
8,Multiple_RRM,O95758,4CQ1_A,76.650,50,38.32,4 RRMs
9,Multiple_RRM,P08579,4C4W_A,74.490,80,59.59,2 RRMs
10,Multiple_RRM,P09012,4PKD_B,96.491,40,38.59,2 RRMs
11,Multiple_RRM,P22626,5HO4_A,100.000,51,51.00,2 RRMs
12,Multiple_RRM,P23246,4WII_A,100.000,37,37.00,2 RRMs
13,Multiple_RRM,P26368,5EV1_A,100.000,42,42.00,3 RRMs
14,Multiple_RRM,P26378,1FXL_A,100.000,76,76.00,3 RRMs
15,Multiple_RRM,P26599,4CQ1_A,82.234,63,51.80,4 RRMs
16,Multiple_RRM,P31942,6DHS_A,80.808,50,40.40,2 RRMs
17,Multiple_RRM,P31943,6DHS_A,98.919,59,58.36,3 RRMs
18,Multiple_RRM,P51991,1L3K_A,87.895,55,48.34,2 RRMs
19,Multiple_RRM,P52597,6DHS_A,79.459,71,56.41,3 RRMs
20,Multiple_RRM,P55795,1WG5_A,100.000,57,57.00,3 RRMs
21,Multiple_RRM,Q5SZQ8,2DNO_A,97.849,51,49.90,3 RRMs
22,Multiple_RRM,Q8N6W0,2DNH_A,100.000,49,49.00,3 RRMs
23,Multiple_RRM,Q9UKA9,4CQ1_A,100.000,37,37.00,4 RRMs
24,Multiple_RRM,Q32P51,1L3K_A,97.449,61,59.44,2 RRMs
25,Multiple_RRM,Q96DU9,4F02_A,67.368,99,66.69,4 RRMs
26,Multiple_RRM,Q01085,5ITH_A,92.308,66,60.92,3 RRMs
27,Multiple_RRM,Q07955,4C0O_C,97.600,50,48.80,2 RRMs
28,Multiple_RRM,Q12849,4QU7_A,98.765,47,46.41,3 RRMs
29,Multiple_RRM,Q12926,1FXL_A,97.605,67,65.39,3 RRMs
30,Multiple_RRM,Q15020,5CTQ_A,100.000,54,54.00,2 RRMs
31,Multiple_RRM,Q15233,3SDE_B,100.000,55,55.00,2 RRMs
32,Multiple_RRM,Q15717,4ED5_A,100.000,75,75.00,3 RRMs
33,Multiple_RRM,Q92879,3NNC_A,100.000,51,51.00,3 RRMs
34,Multiple_RRM,Q99729,3S7R_A,97.674,49,47.86,2 RRMs

35,RRM_with_Other,O00425,6GQE_A,98.780,55,54.32,"4 KH, 2 RRMs"
36,RRM_with_Other,Q13310,4F02_A,94.211,59,55.58,"1 PABC, 4 RRM"
37,RRM_with_Other,Q9GZY0,4WYK_A,63.020,73,46.00,"1 TAPC, 1 NTF2, 1 RRM"
38,RRM_with_Other,Q9NZI8,6QEY_A,100.000,58,58.00,"4 KH, 2 RRMs"
39,RRM_with_Other,Q9UNP9,2R99_A,99.422,57,56.67,"PPIase cyclophilin-type, 1 RRM"
40,RRM_with_Other,P05455,2VOD_A,100.000,47,47.00,"1 HTH La-type, 1 RRM"
41,RRM_with_Other,Q96BT7,3THT_A,100.000,50,50.00,"1 Fe2OG dioxygenase, 1 RRM"
42,RRM_with_Other,Q9H1B4,4F25_A,90.291,61,55.07,"1 NTF2, 1 RRM"
43,RRM_with_Other,Q9H361,4F25_A,90.291,61,55.07,"1 PABC, 4 RRMs"
44,RRM_with_Other,Q9UBU9,1FO1_A,99.262,44,43.67,"1 NTF2, 1 TAP-C, 1 RRM"
45,RRM_with_Other,Q4VXU2,4F02_A,84.737,62,52.53,"1 PABC, 4 RRMs"
