qseqid,sseqid,pident,length,similarity_score,uniprot_id
sp|A6NDE4|RBY1B_HUMAN,2FY1_A,100.0,22,22.0,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2MB0_B,80.851,19,15.36169,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2MKS_A,81.111,18,14.59998,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5TBX_A,57.647,17,9.79999,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,1X5S_A,55.556,18,10.00008,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CQC_A,47.222,14,6.61108,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2RRA_A,46.575,15,6.98625,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2RRB_A,46.575,15,6.98625,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2KXN_B,46.575,15,6.98625,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2KYX_A,42.105,15,6.31575,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3MDF_A,42.105,15,6.31575,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DGO_A,36.667,18,6.60006,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,3LPY_A,41.333,15,6.19995,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5MQF_OO,39.535,17,6.72095,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DH7_A,35.87,18,6.4566,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CQB_A,39.286,17,6.67862,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2KU7_A,41.333,15,6.19995,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,4C7Q_A,36.471,17,6.20007,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DH8_A,41.071,11,4.51781,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CJK_A,42.254,17,7.18318,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CJK_A,30.12,17,5.1204,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2MJN_A,36.667,18,6.60006,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2MJN_A,24.286,18,4.37148,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2MPU_A,37.037,16,5.92592,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2XS5_A,31.169,16,4.98704,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2M8H_A,32.292,19,6.13548,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2LEA_A,36.842,15,5.5263,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2DNZ_A,36.111,14,5.05554,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2CQI_A,34.409,19,6.53771,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2XSF_A,31.169,16,4.98704,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,5LXR_A,34.177,16,5.46832,A6NDE4
sp|A6NDE4|RBY1B_HUMAN,2XS2_A,31.169,16,4.98704,A6NDE4
