uniprot_id,qseqid,sseqid,pident,length,similarity_score,method
A6NDE4,sp|A6NDE4|RBY1B_HUMAN,2FY1_A,100.0,22,22.0,I-TASSER
A6NDY0,sp|A6NDY0|EPAB2_HUMAN,2JWN_A,74.51,37,27.5687,I-TASSER
O00425,sp|O00425|IF2B3_HUMAN,6GQE_A,98.78,55,54.329,MODELLER
O14979,sp|O14979|HNRDL_HUMAN,5IM0_A,75.294,40,30.1176,I-TASSER
O15047,sp|O15047|SET1A_HUMAN,3S8S_A,100.0,6,6.0,I-TASSER
O43347,sp|O43347|MSI1H_HUMAN,5X3Y_A,95.789,50,47.8945,MODELLER
O43390,sp|O43390|HNRPR_HUMAN,6ES4_A,64.091,40,25.6364,I-TASSER
O43719,sp|O43719|HTSF1_HUMAN,2DIT_A,95.238,14,13.33332,I-TASSER
O60506,sp|O60506|HNRPQ_HUMAN,6ES4_A,63.182,35,22.1137,I-TASSER
O60812,sp|O60812|HNRC1_HUMAN,2MXY_A,91.429,36,32.91444,I-TASSER
O75526,sp|O75526|RMXL2_HUMAN,2MB0_B,92.632,24,22.23168,I-TASSER
O95104,sp|O95104|SCAF4_HUMAN,3D9I_A,82.482,12,9.89784,I-TASSER
O95628,sp|O95628|CNOT4_HUMAN,2CPI_A,100.0,17,17.0,I-TASSER
O95758,sp|O95758|PTBP3_HUMAN,2ADC_A,81.818,73,59.72714,MODELLER
P05455,sp|P05455|LA_HUMAN,2VOD_A,100.0,47,47.0,MODELLER
P08579,sp|P08579|RU2B_HUMAN,1FHT_A,69.912,86,60.12432,MODELLER
P08621,sp|P08621|RU17_HUMAN,3CW1_K,100.0,49,49.0,MODELLER
P09012,sp|P09012|SNRPA_HUMAN,5MQF_X,55.396,99,54.84204,MODELLER
P0C7P1,sp|P0C7P1|RBY1D_HUMAN,2FY1_A,100.0,22,22.0,I-TASSER
P0DJD3,sp|P0DJD3|RBY1A_HUMAN,2FY1_A,100.0,22,22.0,I-TASSER
P14866,sp|P14866|HNRPL_HUMAN,4QPT_A,98.605,37,36.48385,MODELLER
P19338,sp|P19338|NUCL_HUMAN,2KRR_A,93.889,50,46.9445,MODELLER
P22626,sp|P22626|ROA2_HUMAN,5EN1_A,100.0,52,52.0,MODELLER
P23246,sp|P23246|SFPQ_HUMAN,4WIJ_A,100.0,46,46.0,MODELLER
P26368,sp|P26368|U2AF2_HUMAN,5EV1_A,100.0,42,42.0,MODELLER
P26378,sp|P26378|ELAV4_HUMAN,1FXL_A,100.0,76,76.0,MODELLER
P26599,sp|P26599|PTBP1_HUMAN,4CQ1_A,82.234,63,51.80742,MODELLER
P31942,sp|P31942|HNRH3_HUMAN,6DHS_A,80.808,50,40.404,MODELLER
P31943,sp|P31943|HNRH1_HUMAN,6DG1_A,100.0,59,59.0,MODELLER
P49756,sp|P49756|RBM25_HUMAN,3V53_A,100.0,13,13.0,I-TASSER
P51991,sp|P51991|ROA3_HUMAN,4YOE_A,87.895,55,48.34225,MODELLER
P52272,sp|P52272|HNRPM_HUMAN,2DO0_A,100.0,37,37.0,MODELLER
P52597,sp|P52597|HNRPF_HUMAN,2HGN_A,100.0,63,63.0,MODELLER
P52756,sp|P52756|RBM5_HUMAN,2LKZ_A,96.629,20,19.3258,I-TASSER
